Sample Schedule,Full Date,IndividualRevenue,NormRev,Rivalry,Stars,Facebook,SeasonPart,FootballSeason,LeBron,Weekend,PastWins,Holiday,BigGame,OverUnders,DaysSinceLast,DaysUntilNext
Nuggets,10/30/2013,224476.75,2.715,0,0,1123953,1,1,0,0,57,0,1,45.5,0,2
Clippers,11/1/2013,84441.25,0.337,0,2,1137267,1,1,0,1,56,0,0,56.5,2,4
Hawks,11/5/2013,17132,-0.806,0,0,465576,1,1,0,0,44,0,0,39.5,4,4
Trail Blazers,11/9/2013,50537.5,-0.239,0,1,569801,1,1,0,1,33,0,0,38.5,4,4
Nets,11/13/2013,43558.5,-0.357,0,2,1322014,1,1,0,0,49,0,0,52.5,4,2
Pistons,11/15/2013,51110.5,-0.229,0,0,619827,1,1,0,1,29,0,0,40.5,2,2
Grizzlies,11/17/2013,24394.5,-0.683,0,1,438476,1,1,0,1,56,0,0,50.5,2,2
Suns,11/19/2013,15417.62,-0.835,0,0,949018,1,1,0,0,25,0,0,19.5,2,10
Clippers,11/29/2013,112045,0.806,0,2,1137267,1,1,0,1,56,1,0,56.5,10,2
Warriors,12/1/2013,101099.5,0.62,1,1,865755,1,1,0,1,47,0,0,51.5,2,2
Thunder,12/3/2013,67970.67,0.057,0,2,2642830,2,1,0,0,60,0,0,52.5,2,3
Lakers,12/6/2013,136156,1.215,1,1,17574449,2,1,0,1,45,0,0,36.5,3,3
Mavericks,12/9/2013,12846,-0.879,0,0,2738254,2,1,0,0,41,0,0,43.5,3,2
Jazz,12/11/2013,25442,-0.665,0,0,532698,2,1,0,0,43,0,0,25.5,2,4
Rockets,12/15/2013,57064.75,-0.128,0,2,1179672,2,1,0,1,45,0,0,54.5,4,8
Pelicans,12/23/2013,71971,0.125,0,1,509903,2,1,0,0,27,1,0,39.5,8,4
Heat,12/27/2013,337802,4.64,0,3,9363506,2,1,1,1,66,1,1,61.5,4,6
76ers,1/2/2014,51870,-0.216,0,0,635150,2,1,0,0,34,0,0,16.5,6,2
Hornets,1/4/2014,40021,-0.417,0,0,475578,2,1,0,1,21,0,0,26.5,2,3
Trail Blazers,1/7/2014,43932.43,-0.351,0,1,864152,2,1,0,0,33,0,0,38.5,3,3
Magic,1/10/2014,37166,-0.466,0,0,2130718,3,1,0,1,20,0,0,23.5,3,2
Cavaliers,1/12/2014,35902,-0.487,0,1,1332986,3,1,0,1,24,0,0,40.5,2,12
Pacers,1/24/2014,61122,-0.059,0,1,991488,3,1,0,1,49,0,0,54.5,12,2
Nuggets,1/26/2014,25380.5,-0.666,0,0,1334948,3,1,0,1,57,0,0,45.5,2,3
Grizzlies,1/29/2014,15431,-0.835,0,1,682968,3,1,0,0,56,0,0,50.5,3,5
Bulls,2/3/2014,44276,-0.345,0,2,12178285,3,0,0,0,45,0,0,56.5,5,2
Raptors,2/5/2014,16941,-0.809,0,0,630036,3,0,0,0,34,0,0,36.5,2,14
Warriors,2/19/2014,117743.5,0.903,1,1,1384283,3,0,0,0,47,0,0,51.5,14,3
Celtics,2/22/2014,105008.5,0.686,0,1,7753876,3,0,0,1,41,0,0,27.5,3,3
Rockets,2/25/2014,43405.62,-0.36,0,2,1553435,3,0,0,0,45,0,0,54.5,3,4
Timberwolves,3/1/2014,58123,-0.11,0,0,913022,4,0,0,1,31,0,0,41.5,4,2
Pelicans,3/3/2014,18668.5,-0.78,0,1,822983,4,0,0,0,27,0,0,39.5,2,15
Wizards,3/18/2014,25308.6,-0.667,0,0,457165,4,0,0,0,29,0,0,40.5,15,3
Spurs,3/21/2014,77141.75,0.213,0,2,3059830,4,0,0,1,58,0,0,55.5,3,2
Bucks,3/23/2014,34647.75,-0.508,0,0,663672,4,0,0,1,38,0,0,28.5,2,3
Knicks,3/26/2014,51376.5,-0.224,0,2,4750157,4,0,0,0,54,0,0,48.5,3,7
Lakers,4/2/2014,96149.5,0.536,1,1,19725871,4,0,0,0,45,0,0,36.5,7,4
Mavericks,4/6/2014,54692.5,-0.168,0,0,3365698,4,0,0,1,41,0,0,43.5,4,2
Thunder,4/8/2014,74463.35,0.168,0,2,4061758,4,0,0,0,60,0,0,52.5,2,5
Timberwolves,4/13/2014,39111.25,-0.433,0,0,994055,4,0,0,1,31,0,0,41.5,5,3
Suns,4/16/2014,46708.75,-0.304,0,0,1425914,4,0,0,0,25,0,0,19.5,3,0
Warriors,10/29/2014,118902.5,1.392,1,1,2496582,1,1,0,0,51,0,1,50.5,0,2
Trail Blazers,10/31/2014,16314,-1.086,0,2,1708908,1,1,0,1,54,0,0,48.5,2,5
Nuggets,11/5/2014,23374,-0.916,0,0,1712045,1,1,0,0,36,0,0,40.5,5,10
Spurs,11/15/2014,91389.5,0.727,0,1,5250585,1,1,0,1,62,0,0,56.5,10,3
Pelicans,11/18/2014,15867.3,-1.097,0,1,1006816,1,1,0,0,34,0,0,41.5,3,2
Bulls,11/20/2014,82864,0.521,0,1,16847797,1,1,0,0,48,0,0,55.5,2,10
Grizzlies,11/30/2014,48843,-0.301,0,0,1227822,1,1,0,1,50,0,0,48.5,10,2
Raptors,12/2/2014,13399.6,-1.157,0,1,1434575,1,1,0,0,48,0,0,49.5,2,3
Pacers,12/5/2014,36765.66,-0.592,0,2,2707119,1,1,0,1,56,0,0,32.5,3,1
Magic,12/6/2014,26990,-0.829,0,0,2571372,1,1,0,1,23,0,0,28.5,1,2
Jazz,12/8/2014,16371,-1.085,0,0,891496,2,1,0,0,25,0,0,25.5,2,3
Rockets,12/11/2014,27765.36,-0.81,0,2,2715389,2,1,0,0,54,0,0,49.5,3,2
Pistons,12/13/2014,28515.41,-0.792,0,0,1303664,2,1,0,1,29,0,0,36.5,2,3
Thunder,12/16/2014,73655.33,0.299,0,1,5321084,2,1,0,0,59,0,0,57.5,3,2
Bucks,12/18/2014,20003.22,-0.997,0,0,885581,2,1,0,0,15,0,0,24.5,2,3
Lakers,12/21/2014,164323,2.489,1,1,21952715,2,1,0,1,27,1,0,31.5,3,5
Suns,12/26/2014,74567.6,0.321,0,0,1647464,2,1,0,1,48,1,0,42.5,5,1
Knicks,12/27/2014,67857.05,0.159,0,1,5611811,2,1,0,1,37,1,0,40.5,1,11
Thunder,1/7/2015,72767,0.277,0,1,5446450,2,1,0,0,59,0,0,57.5,11,2
Nuggets,1/9/2015,44418.5,-0.407,0,0,1805900,2,1,0,1,36,0,0,40.5,2,2
Cavaliers,1/11/2015,152704.5,2.209,0,3,3168950,3,1,1,1,33,0,0,58.5,2,2
Mavericks,1/13/2015,42319.5,-0.458,0,1,4166760,3,1,0,0,49,0,0,49.5,2,3
Heat,1/16/2015,61326.2,0.001,0,2,16284127,3,1,0,1,54,0,0,43.5,3,1
